age,gender,height_cm,weight_kg,bmi,sleep_hours,water_liters,exercise_minutes,health_suggestion
47,Female,154,67,28.3,6.5,2.1,26,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
55,Male,183,71,21.2,7.5,0.6,72,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
19,Male,155,46,19.1,5.7,1.5,25,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
38,Male,171,61,20.9,8.7,1.9,46,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
50,Male,160,77,30.1,4.2,2.6,85,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
29,Male,165,53,19.5,6.1,1.4,110,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
39,Female,182,87,26.3,8.8,1.0,55,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
61,Female,158,92,36.9,6.7,0.8,93,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
42,Female,155,83,34.5,6.1,3.8,106,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
44,Male,165,86,31.6,6.8,2.0,62,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
59,Male,178,70,22.1,6.9,2.5,47,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
45,Male,152,94,40.7,7.7,3.7,60,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
33,Female,169,69,24.2,4.6,0.8,80,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
32,Male,185,68,19.9,5.3,3.6,25,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
64,Male,168,57,20.2,6.9,2.4,35,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
61,Female,175,104,34.0,8.3,1.1,0,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
20,Male,152,51,22.1,6.8,1.9,7,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
54,Female,168,101,35.8,5.2,3.2,112,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
24,Female,169,80,28.0,7.4,2.2,98,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
38,Female,181,89,27.2,7.7,3.9,51,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
26,Male,156,64,26.3,5.2,1.8,78,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
56,Male,182,109,32.9,5.9,3.1,46,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
35,Male,189,52,14.6,6.7,1.9,55,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
21,Male,188,60,17.0,6.5,3.4,85,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
42,Male,167,58,20.8,5.9,2.5,13,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
31,Male,189,59,16.5,5.5,0.7,89,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
26,Male,150,76,33.8,4.5,0.6,27,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
43,Female,160,107,41.8,4.3,1.0,86,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
19,Male,177,95,30.3,8.8,0.5,77,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
37,Female,174,69,22.8,8.2,0.8,87,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
45,Male,172,102,34.5,5.8,2.9,1,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
64,Male,180,107,33.0,8.8,2.4,108,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
24,Male,179,106,33.1,7.4,3.1,25,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
61,Female,184,66,19.5,6.4,3.7,13,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
25,Female,156,102,41.9,6.5,2.5,58,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
64,Female,165,102,37.5,4.4,3.0,55,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
52,Female,175,93,30.4,4.5,3.1,114,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
31,Male,151,96,42.1,7.0,1.8,6,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
34,Female,150,86,38.2,6.8,1.3,2,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
53,Male,161,59,22.8,5.1,1.2,110,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
57,Male,154,98,41.3,8.7,1.4,22,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
21,Female,186,104,30.1,7.9,1.5,109,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
19,Female,181,52,15.9,4.6,1.2,106,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
23,Female,158,97,38.9,8.7,3.6,110,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
59,Female,184,104,30.7,8.9,3.1,108,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
21,Female,168,49,17.4,9.0,0.7,17,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
46,Female,165,50,18.4,4.3,1.4,37,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
35,Female,152,91,39.4,7.7,0.6,98,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
43,Female,169,99,34.7,6.7,2.2,114,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
61,Male,173,84,28.1,7.5,2.2,14,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
51,Female,182,96,29.0,8.8,3.4,63,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
27,Female,173,60,20.0,7.4,1.6,88,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
53,Male,160,57,22.3,8.2,3.4,118,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
31,Female,157,74,30.0,8.3,3.9,100,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
48,Male,185,63,18.4,8.2,0.8,27,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
32,Male,187,61,17.4,6.1,3.3,73,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
25,Female,189,107,30.0,5.1,2.6,38,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
31,Male,169,63,22.1,6.0,2.2,56,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
40,Male,184,102,30.1,8.5,2.0,16,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
57,Male,174,99,32.7,4.7,3.2,102,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
38,Male,184,106,31.3,6.6,2.7,85,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
33,Female,174,67,22.1,5.2,3.3,89,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
62,Male,178,53,16.7,6.9,3.7,43,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
35,Female,167,56,20.1,8.3,2.7,24,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
64,Male,167,45,16.1,8.4,3.9,16,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
41,Male,151,102,44.7,5.2,2.6,12,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
43,Male,184,45,13.3,8.5,2.7,83,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
42,Male,165,78,28.7,7.0,2.4,24,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
62,Female,185,92,26.9,5.8,0.8,67,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
58,Female,182,45,13.6,7.5,3.0,9,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
46,Male,153,60,25.6,6.4,2.4,66,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
32,Male,182,105,31.7,5.9,2.1,104,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
62,Female,163,108,40.6,7.5,3.7,108,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
18,Male,170,107,37.0,5.2,1.5,17,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
42,Male,169,66,23.1,5.7,2.3,110,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
24,Male,157,70,28.4,6.2,2.9,99,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
26,Female,156,60,24.7,5.3,3.3,110,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
41,Female,152,95,41.1,6.0,2.1,85,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
18,Female,166,101,36.7,6.9,3.4,33,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
61,Male,182,73,22.0,7.7,3.2,110,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
25,Male,161,91,35.1,7.8,0.7,7,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
41,Female,171,106,36.3,8.1,0.7,39,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
28,Female,171,60,20.5,7.7,2.7,112,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
34,Female,179,92,28.7,7.4,1.7,107,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
25,Female,187,83,23.7,5.2,1.2,82,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
52,Male,187,77,22.0,6.0,2.5,41,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
52,Female,157,67,27.2,6.4,1.7,40,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
50,Male,176,54,17.4,4.4,2.4,100,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
22,Female,176,78,25.2,6.6,2.1,5,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
59,Male,183,96,28.7,6.2,2.5,51,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
56,Female,170,54,18.7,8.0,1.9,25,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
58,Female,179,63,19.7,8.9,2.9,63,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
45,Female,182,102,30.8,6.8,1.1,97,"Follow a calorie-deficit meal plan, increase daily activity gradually, focus on vegetables & lean protein."
24,Female,177,45,14.4,5.6,2.9,58,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
26,Male,182,48,14.5,4.2,1.9,55,"Increase calorie intake with nutritious foods, include strength training, and aim for consistent meal timings."
25,Female,154,60,25.3,8.6,3.6,58,"Reduce sugary and fried foods, increase water intake, walk at least 30 minutes daily, and track calories."
29,Male,168,68,24.1,8.6,2.3,108,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
51,Male,153,46,19.7,5.3,3.9,69,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
50,Male,184,76,22.4,7.5,2.6,100,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
40,Male,166,68,24.7,4.4,1.3,32,"Maintain a balanced diet, stay active, continue drinking adequate water, and ensure regular sleep schedule."
